time,flux,flux_err,quality
1325.3283162340422,14898.514531340687,3.9426679312031374,0
1325.349149767287,14892.151566417593,3.9496304847335004,0
1325.369983299599,14874.614874515224,3.9570186140304915,0
1325.390816830764,14854.58784031656,3.965321314759295,0
1325.4116503605771,14849.925627019342,3.9740848954405044,0
1325.432483888848,14840.58555867275,3.9791615504420013,0
1325.4533174153994,14836.554898314025,3.9829999617319323,0
1325.4741509400756,14849.51572343416,3.9866087047063976,0
1325.4949844627438,14837.945032600137,3.991252168125552,0
1325.515817983294,14840.78255737026,3.995531128312179,0
1325.5366515016428,14324.113406569086,3.951303407268302,0
1325.5574850177363,13280.727837518209,3.854400785419298,0
1325.5783185315477,12651.342296420093,3.79763145230721,0
1325.5991520430766,13002.80862853126,3.8367755250297355,0
1325.6199855523578,14064.94766013178,3.9421682292302416,0
1325.6408190594502,14889.392959112347,4.02174627165498,0
1325.6616525644422,14985.27434057138,4.032427243472399,0
1325.6824860674476,15014.90316879717,4.036691642191806,0
1325.7033195686017,15051.468216584466,4.043754189900346,0
1325.7241530680676,15080.85781100073,4.051803992231908,0
1325.7449865660212,15123.916053438183,4.061639731361813,0
1325.7658200626586,15145.262414685249,4.071258424024618,0
1325.7866535581854,15174.680783665654,4.082552287966437,0
1325.807487052817,15217.546259855502,4.092645445169218,0
1325.828320546776,15251.941789101294,4.101266868472907,0
1325.849154040284,15258.214618944501,4.106925457293367,0
1325.8699875335615,15295.518679045445,4.109881636352086,0
1325.8908210268214,15315.764896471686,4.1101269378516,0
1325.911654520268,15338.97766208019,4.110904075518576,0
1325.9324880140948,15349.466011659028,4.110561181521766,0
1325.9533215084723,15362.397626167094,4.112128781895879,0
1325.9949884994796,15382.958430973336,4.116133565842999,0
1326.0158219963482,15390.889430220639,4.121917083719172,0
1326.0366554942445,15392.318208743436,4.1267972737106975,0
1326.057488993222,15375.106771271521,4.126860278593084,0
1326.0783224933052,15357.384527864515,4.128067936600343,0
1326.099155994488,15360.079457883296,4.130047067626282,0
1326.1199894967383,15354.115641429435,4.129804125613742,0
1326.1408229999936,15344.55368410298,4.12990251104817,0
1326.1616565041645,15323.771730561588,4.129466389651848,0
1326.182490009136,15320.014761854358,4.128627760489756,0
1326.2033235147676,15294.688085028398,4.126935753918912,0
1326.224157020899,15292.058359124605,4.124963951675808,0
1326.2449905273509,15286.290545727376,4.1244359551948975,0
1326.2658240339279,15228.79841385532,4.118743072396851,0
1326.2866575404234,14644.125618613163,4.063439829027059,0
1326.3074910466194,13778.32474304008,3.9837901340637845,0
1326.3283245522966,13457.884426268905,3.952863426375032,0
1326.3699915612035,14773.200019515047,4.080178679107793,0
1326.3908250640006,15208.69828412998,4.121810935652679,0
1326.4116585654194,15209.855872613489,4.124927579720877,0
1326.4324920652707,15206.506098708132,4.126146829015008,0
1326.4533255633796,15175.503008873522,4.125440788921248,0
1326.4741590595943,15166.734717100271,4.126397174410807,0
1326.4949925537837,15163.866883056457,4.12723591201682,0
1326.5158260458409,15144.368194811877,4.12829958014492,0
1326.5366595356884,15135.913795148701,4.130413909773168,0
1326.5574930232738,15125.168702588879,4.1325766400565085,0
1326.5783265085738,15102.532365759569,4.13263655325865,0
1326.5991599915951,15108.80518831289,4.133710960048685,0
1326.6199934723732,15115.296327086444,4.134979525417967,0
1326.6408269509714,15098.803210087037,4.134728566230258,0
1326.6616604274802,15095.525383466214,4.132533581413217,0
1326.703327374727,15089.329533854023,4.126787352944817,0
1326.744994315318,15058.958677064307,4.119425270443472,0
1326.7658277835785,15034.863865418938,4.115524947993057,0
1326.807494717065,15005.337156280691,4.113260039069252,0
1326.82832818273,14989.095698012383,4.111827513749183,0
1326.8491616479716,14970.196065486069,4.110227242635968,0
1326.8699951130109,14958.533495091919,4.106481476215148,0
1326.8908285780599,14940.589583686573,4.101301580940087,0
1326.9116620433203,14937.406226793664,4.094328713825806,0
1326.9324955089828,14924.345643024837,4.086338752898317,0
1326.9533289752158,14913.91046659207,4.079375621529098,0
1326.974162442175,14913.101604801757,4.073608248460487,0
1326.9949959099863,14919.869382101437,4.069605841038196,0
1327.0158293787554,14753.89569170386,4.052949827051433,0
1327.0366628485601,13825.874766959545,3.9658656302058337,0
1327.0783297914436,12749.879561473403,3.86557553536447,0
1327.0991632645348,13571.31459611702,3.9467997344445065,0
1327.182497166705,15091.871741982774,4.088177151031699,0
1327.2241641221171,15155.924028551815,4.089216477494521,0
1327.2866645569188,15258.953718392866,4.085634784717406,0
1327.307498034817,15277.787974655783,4.084733400840636,0
1327.3908319387056,15379.012379926244,4.091116648832364,0
1327.4116654116815,15390.082475660973,4.0933586381252125,0
1327.453332352684,15419.24581256448,4.101331571708364,0
1327.4741658203889,15427.628137493288,4.104886815888242,0
1327.494999286053,15425.051432948285,4.105967033193497,0
1327.5158327495722,15418.974929653088,4.10930852509896,0
1327.5366662108725,15413.185352880966,4.112313735506263,0
1327.5991665811175,15409.167032115798,4.120740045491837,0
1327.6200000333488,15389.788502671443,4.119586323573068,0
1327.6408334834098,15371.786129044023,4.117756559940514,0
1327.7033338216445,15339.936690761146,4.110452472647143,0
1327.7241672642167,15306.390132267248,4.108571155237167,0
1327.7658341451668,15025.499629993114,4.081016845235571,0
1327.8075010219015,13492.263976984332,3.9371268572430056,0
1327.8700013329287,15078.783051563456,4.081708508377068,0
1327.8908347697252,15194.43881922122,4.089449940059951,0
1327.9116682067583,15192.470831383036,4.085336404826917,0
1327.9325016442149,15168.913636171912,4.079630012245967,0
1327.9533350822646,15151.722982110676,4.074187424009886,0
